SQ_CANDIDATO;NM_CANDIDATO;NM_UE_x;DS_CARGO;SG_PARTIDO;DS_TIPO_BEM_CANDIDATO;DS_BEM_CANDIDATO;VR_BEM_CANDIDATO
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Casa;Imóvel na Rua Expedicionário Souza Filho - Boituva/SP;6019,03
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Casa;Imóvel no Jardim Oreana - Boituva/SP;58187,37
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Apartamento;Edifício Blue Garden - Florianópolis/SC;286000,00
250002130375;ENILTON FERREIRA SOARES;BOITUVA;VEREADOR;PL;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Land Rover Evoque 2016;140000,00
250002130375;ENILTON FERREIRA SOARES;BOITUVA;VEREADOR;PL;Apartamento;Condomínio Recanto dos Passáros - Boituva/SP;200000,00
250002130376;MATEUS NASCIMENTO MACHADO;BOITUVA;VEREADOR;PL;Caderneta de poupança;Saldo em conta ;20000,00
250002130376;MATEUS NASCIMENTO MACHADO;BOITUVA;VEREADOR;PL;Apartamento;Apartamento na Rua Moacir Amadei - Boituva/SP;130000,00
250001931572;LEVI PEREIRA CAMARGO JUNIOR;BOITUVA;VEREADOR;CIDADANIA;Depósito bancário em conta corrente no País;saldo;47,59
250001931572;LEVI PEREIRA CAMARGO JUNIOR;BOITUVA;VEREADOR;CIDADANIA;Depósito bancário em conta corrente no País;saldo em conta;1795,42
250001931572;LEVI PEREIRA CAMARGO JUNIOR;BOITUVA;VEREADOR;CIDADANIA;Depósito bancário em conta corrente no País;saldo em conta;642,20
250001931572;LEVI PEREIRA CAMARGO JUNIOR;BOITUVA;VEREADOR;CIDADANIA;Casa;CASA NA CIDADE DE BOITUVA;118933,00
250001931577;DIOGO DE MATOS;BOITUVA;VEREADOR;CIDADANIA;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;CARRO;50000,00
250001931577;DIOGO DE MATOS;BOITUVA;VEREADOR;CIDADANIA;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;MOTO;11000,00
250001931577;DIOGO DE MATOS;BOITUVA;VEREADOR;CIDADANIA;Terreno;LOTE LOCALIZADO NO MUNCIPIO DE BOITUVA;100000,00
250001931768;SERGIO POMPEU DA SILVA;BOITUVA;VEREADOR;PSD;Outros bens imóveis;IMÓVEL RESIDENCIAL EM CAIEIRAS SP;150000,00
250001931768;SERGIO POMPEU DA SILVA;BOITUVA;VEREADOR;PSD;OUTROS BENS E DIREITOS;50% DE PARTICIPAÇÃO EM EMPRESA ;15000,00
250001931768;SERGIO POMPEU DA SILVA;BOITUVA;VEREADOR;PSD;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;VEÍCULO TIPO CARRO;10000,00
250001931768;SERGIO POMPEU DA SILVA;BOITUVA;VEREADOR;PSD;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;VEÍCULO TIPO CARRO FIAT;16500,00
250001931709;VALDIR LUIZ PROVASI;BOITUVA;VEREADOR;REPUBLICANOS;OUTROS BENS E DIREITOS;PARTICIPAÇÃO EM EMPRESA ;5000,00
